Energy_Threshold,N_Energy_Detections,Subspace_Threshold,N_Subspace_Detections
308408.07939825754,432,0.0015071682113428483,432
308408.07939825754,432,0.0017857562057547955,216
308408.07939825754,432,0.0023449773015541274,44
396223.2108958353,216,0.0015071682113428483,432
396223.2108958353,216,0.0017857562057547955,216
396223.2108958353,216,0.0023449773015541274,44
586438.9031253193,44,0.0015071682113428483,432
586438.9031253193,44,0.0017857562057547955,216
586438.9031253193,44,0.0023449773015541274,44
