timestamp,term_249,term_252,term_372,mean_energy,std_energy
2020-08-31 22:00:05+00:00,7843.962063631538,8769.601449127995,9877.408036972807,8830.32384991078,1018.0820394703339
2020-08-31 22:00:10+00:00,4231.991603160509,4272.573874515468,3642.4111425055885,4048.9922067271887,352.6937078043191
2020-08-31 22:00:15+00:00,4101.616450994742,4213.857150587557,3227.74314249754,3847.73891469328,539.8569827433141
2020-08-31 22:00:20+00:00,4629.5471625626205,4846.126968433801,3377.4594260370673,4284.377852344496,792.8445478527032
2020-08-31 22:00:25+00:00,6309.448602309331,6032.916726944175,4266.585469258808,5536.316932837438,1108.2783773603046
2020-08-31 22:00:30+00:00,8581.36279144694,7379.310885550684,5579.4626277580865,7180.04543491857,1510.8379092578084
2020-08-31 22:00:35+00:00,9450.765059545794,8051.334791861102,6108.885198534063,7870.328349980319,1678.276720436979
2020-08-31 22:00:40+00:00,7741.872260181366,7136.397864101261,5135.509595750329,6671.259906677652,1364.0185388080943
2020-08-31 22:00:45+00:00,5871.41376584078,6115.852517747843,3859.7852677254423,5282.350517104688,1238.0252390054688
2020-08-31 22:00:50+00:00,5545.397451470282,5677.054263651737,3446.284615292635,4889.578776804884,1251.6616581728292
2020-08-31 22:00:55+00:00,5830.371069994435,5831.564306847254,3927.057693226413,5196.331023356033,1099.2231101497548
2020-08-31 22:01:00+00:00,5987.38241905478,6061.646446133014,4333.930524624982,5460.986463270926,976.7651217448775
2020-08-31 22:01:05+00:00,4905.958856754096,4955.762533989023,3840.915943369204,4567.545778037441,629.7724105095604
2020-08-31 22:01:10+00:00,4385.52816783669,4460.2063872703475,3437.0222331646087,4094.2522627572157,570.4013437599612
2020-08-31 22:01:15+00:00,5518.866765782321,5319.046333094424,3813.5094057869287,4883.807501554557,932.2744025675886
2020-08-31 22:01:20+00:00,5820.64863611529,5741.168898701853,4268.297683853701,5276.7050728902805,874.2101314114975
2020-08-31 22:01:25+00:00,5507.734613181672,5557.083860112807,4165.471214473985,5076.763229256155,789.5876703681975
2020-08-31 22:01:30+00:00,5480.320312233053,5335.8240034057635,3988.084165702347,4934.7428271137205,823.0077531439538
2020-08-31 22:01:35+00:00,5700.575163566173,5296.801153661381,4075.3797734792256,5024.252030235593,846.1839531095411
2020-08-31 22:01:40+00:00,7532.525397022991,6373.375981670602,4792.589520182989,6232.830299625527,1375.3643040499792
2020-08-31 22:01:45+00:00,8500.805561208648,6782.919864307256,5196.352651120982,6826.692692212295,1652.6612792988813
2020-08-31 22:01:50+00:00,6882.672673490221,5274.985825949694,4488.465574237349,5548.708024559089,1220.3482249083186
2020-08-31 22:01:55+00:00,6514.684911475597,5826.429527212575,4558.117875825802,5633.0774381713245,992.5106619076281
2020-08-31 22:02:00+00:00,6704.792547295536,6549.093413171468,4737.889208607177,5997.258389691393,1093.42059875891
2020-08-31 22:02:05+00:00,6700.00132080855,5704.159583412872,4776.697010973957,5726.952638398459,961.8547237362627
2020-08-31 22:02:10+00:00,7168.339860697763,6074.464962517881,4870.782011886,6037.8622783672145,1149.2161826760048
2020-08-31 22:02:15+00:00,6603.2161089689,6199.932915157518,4289.50229906547,5697.550441063962,1235.9648098719208
2020-08-31 22:02:20+00:00,6054.29350075724,6059.766680654308,4007.465654542717,5373.841945318088,1183.3197433151122
2020-08-31 22:02:25+00:00,6612.084227544134,6212.495641768418,4221.140898732613,5681.906922681722,1280.740329658446
2020-08-31 22:02:30+00:00,8335.643920958062,6602.649337115033,4689.834034632633,6542.709097568576,1823.6438950751117
2020-08-31 22:02:35+00:00,9154.093667884386,7340.305892908016,5130.70704471253,7208.368868501643,2014.9356103077994
2020-08-31 22:02:40+00:00,10093.91806460489,8464.903228259478,6071.508224910588,8210.109839258319,2023.2733337160373
2020-08-31 22:02:45+00:00,10953.364639171177,8364.863371237727,5899.117320230395,8405.781776879767,2527.3720990774655
2020-08-31 22:02:50+00:00,9837.222277713545,7187.606506500005,5439.187932882419,7488.005572365323,2214.3523259992085
2020-08-31 22:02:55+00:00,9018.956019567968,6813.431580265766,5207.146339299272,7013.177979711002,1913.7390699141918
2020-08-31 22:03:00+00:00,9971.512663074738,7077.9661872449915,5092.523986490886,7380.667612270206,2453.539023755804
2020-08-31 22:03:05+00:00,9787.41333299175,6969.748889461803,5951.122147795608,7569.428123416386,1987.2075639275006
2020-08-31 22:03:10+00:00,8189.699411294359,6602.235752776308,5337.549676326367,6709.828280132344,1429.1156851796993
2020-08-31 22:03:15+00:00,7134.148369000966,6114.599356124065,4080.7593420711655,5776.502355732065,1554.5186791091896
2020-08-31 22:03:20+00:00,6711.980650704688,5415.64147766365,4139.541701095678,5422.387943154671,1286.23274467098
2020-08-31 22:03:25+00:00,6677.196233180481,5909.269459816459,4653.217087400386,5746.5609267991085,1021.7526342885905
2020-08-31 22:03:30+00:00,7811.717889429145,7139.767009977486,5398.385201402236,6783.290033602956,1245.532232336298
2020-08-31 22:03:35+00:00,8154.750157656386,7021.464820255873,5721.835888822224,6966.016955578161,1217.4045380017299
